,Mkt-RF,SMB,HML,RF
19730418,0.34,-0.69,0.06,0.026
19730419,0.53,-0.19,0.19,0.026
19730423,-0.58,-0.04,-0.01,0.026
19730424,-1.51,-0.16,0.57,0.026
19730425,-1.56,-0.27,1,0.026
19730426,0.32,-0.32,0.01,0.026
19730427,-1.54,0.24,0.46,0.026
19730430,-0.24,-0.29,0.2,0.026
19730501,0.02,-0.34,0.03,0.023
19730502,1.18,-0.45,-0.4,0.023
19730503,1.46,-0.83,-0.07,0.023
19730504,0.76,0.14,-0.54,0.023
19730507,-0.43,0.03,0.18,0.023
19730508,0.58,-0.1,-0.1,0.023
19730509,-0.51,0.58,-0.34,0.023
19730510,-0.68,0.13,0.02,0.023
19730511,-1.17,0.14,0.26,0.023
19730514,-2.19,-0.14,0.83,0.023
19730515,0.42,-1.12,0,0.023
19730516,-0.13,-0.37,0.38,0.023
19730517,-0.9,-0.11,0.27,0.023
19730518,-1.87,-1.05,0.29,0.023
19730521,-1.49,-2.44,0.16,0.023
19730522,0.75,-0.59,-0.21,0.023
19730523,0.4,-0.55,-0.05,0.023
19730524,2.79,-0.96,-0.92,0.023
19730525,0.94,1.39,-0.41,0.023
19730529,-0.32,0.59,-0.1,0.023
19730530,-1.53,-0.15,0.61,0.023
19730531,-0.91,-0.45,0.55,0.023
19730601,-0.95,-0.16,0.64,0.024
19730604,-1.14,-0.48,0.52,0.024
19730605,1.36,-0.68,-0.7,0.024
19730606,-0.27,-0.02,-0.14,0.024
19730607,1.3,-0.69,-0.22,0.024
19730608,1.08,0.06,-0.19,0.024
19730611,-0.31,0.33,0.35,0.024
19730612,1.44,-0.53,-0.56,0.024
19730613,-0.49,1.1,0.08,0.024
19730614,-1.06,0.27,0.1,0.024
19730615,-1.26,0,0.7,0.024
19730618,-1.44,-0.13,0.28,0.024
19730619,0.24,-0.43,-0.24,0.024
19730620,0.38,-0.17,-0.36,0.024
19730621,-1.14,0.2,0.47,0.024
19730622,0.4,-0.49,0.39,0.024
19730625,-1.43,-0.54,1.04,0.024
19730626,0.89,-0.6,-0.39,0.024
19730627,0.3,-0.16,-0.16,0.024
19730628,0.99,-0.19,-0.57,0.024
19730629,-0.34,0.37,0.12,0.024
19730702,-1.2,0.51,0.6,0.03
19730703,-0.92,0.31,0.83,0.03
19730705,-0.18,-0.16,0.22,0.03
19730706,-0.43,0.21,0.32,0.03
19730709,0.8,-0.42,-0.25,0.03
19730710,1.38,0.19,-0.64,0.03
19730711,2.17,0.36,-0.72,0.03
19730712,-0.06,0.96,-0.39,0.03
19730713,-1.09,1.02,0.18,0.03
19730716,1.5,0.1,-1.15,0.03
19730717,0.28,0.79,-0.56,0.03
19730718,0.79,0.74,-0.45,0.03
19730719,0.37,0.74,-0.65,0.03
19730720,0.66,0.82,-0.84,0.03
19730723,0.29,0.58,-0.22,0.03
19730724,0.55,-0.03,-0.56,0.03
19730725,1.36,0.24,-0.89,0.03
19730726,0.11,0.27,-0.2,0.03
19730727,-0.24,0.03,0.02,0.03
19730730,-0.33,-0.15,0.28,0.03
19730731,-0.85,0.16,0.23,0.03
19730801,-1.31,-0.28,0.43,0.03
19730802,-0.12,-0.06,-0.25,0.03
19730803,-0.09,0.24,-0.15,0.03
19730806,0.27,0.12,-0.34,0.03
19730807,-0.17,0.11,-0.34,0.03
19730808,-0.97,0.01,0.22,0.03
19730809,-0.03,-0.28,0,0.03
19730810,-0.8,-0.18,0.26,0.03
19730813,-1.08,-0.32,0.33,0.03
19730814,-0.93,-0.15,0.3,0.03
19730815,0.24,-0.28,0.05,0.03
19730816,-0.52,0.29,0.5,0.03
19730817,0.02,-0.12,0.3,0.03
19730820,-0.75,-0.22,0.5,0.03
19730821,-0.78,-0.01,0.06,0.03
